Date,Bar Name,Brand Name,Inventory,Demand,Order Quantity
2023-10-23,Anderson's Bar,Absolut,350.8937622391478,0.0,0.0
2023-10-24,Anderson's Bar,Absolut,176.50376223914782,174.39,174.39
2023-10-25,Anderson's Bar,Absolut,176.50376223914782,0.0,174.39
2023-10-26,Anderson's Bar,Absolut,176.50376223914782,0.0,174.39
2023-10-27,Anderson's Bar,Absolut,350.8937622391478,0.0,0.0
2023-10-28,Anderson's Bar,Absolut,525.2837622391478,0.0,0.0
2023-10-29,Anderson's Bar,Absolut,699.6737622391478,0.0,0.0
2023-10-30,Anderson's Bar,Absolut,699.6737622391478,0.0,0.0
2023-10-31,Anderson's Bar,Absolut,297.8637622391478,401.81,53.03000000000003
2023-11-01,Anderson's Bar,Absolut,297.8637622391478,0.0,53.03000000000003
2023-11-02,Anderson's Bar,Absolut,297.8637622391478,0.0,53.03000000000003
2023-11-03,Anderson's Bar,Absolut,350.8937622391478,0.0,0.0
2023-11-04,Anderson's Bar,Absolut,403.92376223914783,0.0,0.0
2023-11-05,Anderson's Bar,Absolut,137.31376223914788,319.64,213.57999999999993
2023-11-06,Anderson's Bar,Absolut,137.31376223914788,0.0,213.57999999999993
2023-11-07,Anderson's Bar,Absolut,0.0,248.98,350.8937622391478
2023-11-08,Anderson's Bar,Absolut,213.57999999999993,0.0,137.31376223914788
2023-11-09,Anderson's Bar,Absolut,427.15999999999985,0.0,0.0
2023-11-10,Anderson's Bar,Absolut,332.19376223914765,445.86,18.70000000000016
2023-11-11,Anderson's Bar,Absolut,469.5075244782955,0.0,0.0
2023-11-12,Anderson's Bar,Absolut,469.5075244782955,0.0,0.0
2023-11-13,Anderson's Bar,Absolut,488.2075244782957,0.0,0.0
2023-11-14,Anderson's Bar,Absolut,488.2075244782957,0.0,0.0
2023-11-15,Anderson's Bar,Absolut,488.2075244782957,0.0,0.0
2023-11-16,Anderson's Bar,Absolut,488.2075244782957,0.0,0.0
2023-11-17,Anderson's Bar,Absolut,0.0,517.2,350.8937622391478
2023-11-18,Anderson's Bar,Absolut,0.0,0.0,350.8937622391478
2023-11-19,Anderson's Bar,Absolut,0.0,0.0,350.8937622391478
2023-11-20,Anderson's Bar,Absolut,350.8937622391478,0.0,0.0
2023-11-21,Anderson's Bar,Absolut,701.7875244782956,0.0,0.0
2023-11-22,Anderson's Bar,Absolut,1052.6812867174435,0.0,0.0
2023-11-23,Anderson's Bar,Absolut,1052.6812867174435,0.0,0.0
2023-11-24,Anderson's Bar,Absolut,913.5212867174436,139.16,0.0
2023-11-25,Anderson's Bar,Absolut,913.5212867174436,0.0,0.0
2023-11-26,Anderson's Bar,Absolut,913.5212867174436,0.0,0.0
2023-11-27,Anderson's Bar,Absolut,913.5212867174436,0.0,0.0
2023-11-28,Anderson's Bar,Absolut,913.5212867174436,0.0,0.0
